well_id,X,Y,ground_elev,total_depth
NB4,654111,1538553,3,228.5
NB24,666777,1536873,10,227
NB58,661826,1531567,11,236
NB63,654101,1531201,7,234
NB65,640502,1534702,7,231
NB68,645102,1559402,4,235
NB121,644686,1530412,5,209
NB128,652549,1526143,4,224
NL5,654110,1538552,3,189
NL41,666776,1536872,10,155
NL64,661824,1531566,11,169
NL73,640501,1534701,7,173
NL75,645101,1559401,4,153
NL125,644685,1530411,5,184
NL129,652548,1526142,4,166
PD45,661823,1531565,11,101
PD55,654109,1538551,3,109.75
PD56,654100,1531200,7,120
PD61,640500,1534700,7,112
PD63,666789,1538216,5,118
PD66,645100,1559400,4,91
PD123,644684,1530410,5,150
PT16,644688,1530414,5,310
PT22,652551,1526145,4,310
SK19,644687,1530413,5,267
SK21,652550,1526144,4,263
